id,description,ncm
PROD_001,Laptop dell inspiron 15,84713090
PROD_002,Monitor samsung 24 inch,85287200
PROD_003,Keyboard logitech wireless,84711000
PROD_004,Mouse optical usb,84714000
PROD_005,USB cable type c,85444200
PROD_006,Desktop computer hp pavilion,84713090
PROD_007,Tablet samsung galaxy tab,85171200
PROD_008,Smartphone samsung galaxy a12,85171200
PROD_009,Headphones sony wh-ch500,85184200
PROD_010,Power bank anker 20000mah,85044030
PROD_011,Network router wifi 6,85176100
PROD_012,Network switch managed,85176200
PROD_013,External ssd samsung 1tb,84717090
PROD_014,Webcam logitech 1080p,85258090
PROD_015,Mechanical keyboard corsair,84711000
